"Jurong West Street 51","SAM","Blk 509 Jurong West Street 51 [outside West Coast - Ayer Rajah Town Council]","1.34898","103.71917","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Jurong West Street 52","SAM","Jurong Spring CC [wall space of annexe building on the right] 8 Jurong West Street 52","1.34876","103.71792","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Jurong West Street 91","SAM","Blk 962 Jurong West Street 91 [near entrance of Prime Supermarket]","1.34191","103.69126","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Kallang MRT Station","SAM","5 Sims Avenue Concourse Level - near UOB ATM","1.31149","103.87135","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Katong PO","SAM","373 Tanjong Katong Road","1.30307","103.89709","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Khatib MRT ","SAM","201 Yishun Ave 2 [Next to UOB ATM and phone booth]","1.41736","103.83292","","","","","","","","","","","","","","","","","","",""
"Killiney PO ","SAM","1 Killiney Road","1.30025","103.84069","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Kitchener Road PO","SAM","181 Kitchener Road New Park Hotel Shopping Arcade","1.31022","103.85572","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"KK Women's And Children's Hospital","SAM","100 Bukit Timah Road [Outside Kopitiam food court]","1.31051","103.84681","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Lakeside MRT Station","SAM","201 Boon Lay Way","1.34415","103.72056","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Lavender MRT Station","SAM","50 Kallang Road [Concourse level near to DBS ATM]","1.30739","103.86279","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Leisure Park, Kallang","SAM","5 Stadium Walk, Leisure Park Kallang [Level 1, behind information counter]","1.30234","103.87643","","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","",""
"Limbang Shopping Centre","SAM","Blk 533 Choa Chu Kang Street 51 Limbang Shopping Centre [next to McDonald]","1.39207","103.7431","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Little India NEL Station ","SAM","60 Bukit Timah Road Concourse Level, Basement 1","1.30728","103.84995","","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","",""
"Lorong Ah Soo (Hougang)","SAM","Blk 110 Hougang Avenue 1 [next to letter boxes]","1.35473","103.88968","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
